"index_road","node_id"
"[8860940L, 9852914L, 9853022L]",32899016
"[9852987L, 9853022L, 11315478L]",35551808
"[9701974L, 9852987L, 9853013L, 23426606L]",35552053
"[5168718L, 9853013L]",32877217
"[9853022L, 78738807L]",245146685
"[9853022L, 9853023L, 122923050L]",36704579
"[4928042L, 5168718L, 9853023L]",32877279
"[9853022L, 9853023L, 122923050L]",36704579
"[4928042L, 9932203L]",35549717
"[9701904L, 9932203L]",35722724
"[9932207L, 127156340L]",77302916
"[9932207L, 9932209L, 42746691L]",64384543
"[9932209L, 24691244L, 24691245L]",268390160
"[9932207L, 9932209L, 42746691L]",64384543
"[5168718L, 10088713L]",36704368
"[5212294L, 10088713L]",82972304
"[10088770L, 25093041L]",82972556
"[5168954L, 10088770L]",35858261
"[10496445L, 30834259L, 30834926L, 30834942L, 131710758L, 131710759L]",77734114
"[10496445L, 30833629L, 127843728L]",90235924
"[10496447L, 127843729L, 127844296L]",330842109
"[10496447L, 30042275L, 127843728L]",25585099
"[9701974L, 11313416L, 13739568L]",100631017
"[9853022L, 11313416L, 42502046L]",100630167
"[11313750L, 96149456L]",317994548
"[11313750L, 25468681L, 42502046L]",35551154
"[5202948L, 5202949L, 11313842L]",35722660
"[11313842L, 11315578L, 33616161L]",100653373
"[11313842L, 11313890L, 24476415L]",100634747
"[11313890L, 11315467L]",100635187
"[5202952L, 11314246L, 11315886L]",100638705
"[11314246L, 11314653L]",100638707
"[11314274L]",100658732
"[5168765L, 11314274L]",35835751
"[5203144L, 11314390L]",35847191
"[5168928L, 11314390L]",35847192
"[5168773L, 11314415L]",35835805
"[5212299L, 11314415L]",30993650
"[11314527L, 11314699L]",100643766
"[11314527L, 11314726L]",100644007
"[11314538L]",100642173
"[11314538L, 11314728L]",100641900
"[11314653L, 11314654L]",100643450
"[11314653L, 11314752L]",100644359
"[11314654L, 11314728L]",100643449
"[11314653L, 11314654L]",100643450
"[11314699L, 11314757L]",100643783
"[11314527L, 11314699L]",100643766
"[11314527L, 11314726L]",100644007
"[11314726L, 11314728L]",100644008
