"id","ways_index"
25756911,"[25756920L, 25712377L, 31557741L, 25756928L]"
25756920,"[25756928L, 25756911L]"
25756928,"[127156384L, 31961346L, 42709124L, 50636517L, 25756911L, 31757648L, 5135894L, 127156343L, 25756920L, 127156346L, 47691612L]"
25756956,"[25756961L, 123309346L, 24691239L, 123309337L, 123309342L]"
25756961,"[25756956L, 123309353L]"
25756964,"[24691244L, 50636399L, 25756965L, 50636397L]"
25756965,"[25712377L, 25756964L, 123309341L, 33656161L]"
25756992,"[25756993L, 25757002L, 23023876L]"
25756993,"[25756992L, 25757002L, 5135894L, 30880137L]"
25756994,"[30880144L, 25757014L]"
25756999,"[30880016L, 5135894L]"
25757002,"[25756992L, 25756993L, 30880181L]"
25757006,"[5135894L, 76966758L, 30880181L]"
25757010,"[30880120L, 30880181L]"
25757013,"[30880112L, 5135894L, 30880133L]"
25757014,"[30880161L, 25756994L]"
25761456,"[116944480L, 31098818L, 60121476L, 25761608L, 11315378L]"
25761584,"[31098818L, 25761668L, 31098951L, 25761608L, 28926993L, 11315378L, 116939988L, 60121476L, 60121469L]"
25761608,"[25761456L, 122923050L, 25761584L]"
25761668,"[25761584L, 116944482L, 116939987L, 122923050L]"
25775108,"[29178832L, 25775110L, 26954175L]"
25775109,"[26955911L, 25004599L]"
25775110,"[25775108L, 25775111L, 71497450L, 49199949L, 52279548L]"
25775111,"[49199950L, 25775110L]"
25775113,"[25004609L, 58093679L]"
25775117,"[25446433L, 42490684L, 25775118L]"
25775118,"[42490384L, 25446434L, 42490411L, 25775117L]"
25847363,"[115620355L]"
25847365,"[25847366L, 25847368L, 25847369L, 25847375L, 25189584L, 25189585L]"
25847366,"[22800009L, 25847365L, 25847367L]"
25847367,"[25847370L, 25847371L, 25847366L]"
25847368,"[25847365L]"
25847369,"[25847365L]"
25847370,"[25847367L]"
25847371,"[25847372L, 25847373L, 25847367L]"
25847372,"[25847376L, 26812258L, 25895787L, 26514759L, 25847371L, 25847373L, 25847374L, 25847375L, 26812240L, 26927985L, 25847378L, 25847379L, 25189590L, 26345790L]"
25847373,"[25847371L, 25847372L, 25906501L]"
25847374,"[26514756L, 26812261L, 25847372L, 26345781L, 25213433L]"
25847375,"[25847365L, 25847372L, 25189584L, 25189585L, 25895794L]"
25847376,"[25847377L, 25847372L, 25189589L, 25189591L]"
25847377,"[25895790L, 25895791L, 25847376L, 25847379L, 25189589L]"
25847378,"[25847372L, 25874562L, 25895942L, 25895949L]"
25847379,"[25847377L, 25847372L, 25895789L]"
25847380,"[26320968L, 25189585L, 25895795L, 25189587L]"
25847390,"[26812224L, 25213433L, 25906501L]"
25873850,"[139542955L, 25874565L, 25895783L, 26152139L, 25659820L, 25972878L, 25659861L, 27209719L, 26388408L, 26240639L]"
25873851,"[25874562L, 25972878L]"
25874562,"[25895942L, 25895949L, 22800017L, 25847378L, 25873851L]"
25874565,"[139542955L, 25972878L, 127635191L, 139542967L, 25873850L]"
25874569,"[139542948L, 26679301L, 26141478L, 128398087L, 128398091L, 26320972L, 25895949L, 114735726L, 26141455L, 128013680L, 26141479L, 26141490L, 42346343L, 127635188L, 26141486L, 42346525L, 128398085L]"
25874571,"[139542970L, 127635188L, 139542955L, 139542957L]"
25895783,"[40367328L, 26328069L, 22800007L, 22800022L, 25895799L, 25873850L, 22800031L]"
25895787,"[25895788L, 25847372L]"
25895788,"[25895787L, 25895789L]"
25895789,"[25847379L, 25895788L]"
25895790,"[25847377L, 25895791L]"
25895791,"[25847377L, 25895790L]"
25895792,"[27209712L, 26152132L, 26152137L, 27209714L, 40745171L, 27083835L]"
25895794,"[25895795L, 25847375L]"
25895795,"[25189585L, 25895794L, 25847380L, 25189587L]"
25895799,"[139542967L, 25895783L]"
25895942,"[25847378L, 127635188L, 25874562L, 26679301L]"
25895949,"[25874562L, 25874569L, 22800017L, 25847378L, 127635188L]"
25895950,"[25895952L, 139542961L, 25972878L, 139542957L]"
25895952,"[40367328L, 26413649L, 22800010L, 22800012L, 25895950L, 139542961L, 22800022L, 26139159L]"
25906501,"[26812225L, 127635194L, 25847373L, 25847390L]"
25972878,"[25874565L, 139542955L, 139542957L, 25895950L, 25873850L, 25873851L]"
25972879,"[26064139L]"
25972880,"[26064139L]"
25972883,"[58093668L, 71497449L, 26064139L, 58093680L, 25972884L, 58093691L, 58093693L]"
25972884,"[71497448L, 25419724L, 25972883L, 25409151L, 25409149L, 76160350L, 76160351L]"
25972885,"[25985490L, 25985491L, 25985494L, 25985495L, 76160350L, 76160351L]"
25985490,"[44774837L, 74908173L, 74908175L, 25972885L, 25985494L, 44774839L, 76160350L, 76160351L]"
25985491,"[25972885L]"
25985493,"[58093699L, 58093672L, 26064139L, 25004588L, 25985494L, 76160349L]"
25985494,"[25985490L, 25985493L, 76160351L, 76160350L, 25972885L]"
25985495,"[25972885L]"
25999326,"[25004142L]"
25999328,"[25409131L, 25004142L, 25004143L]"
25999340,"[25409138L, 25004142L]"
26063849,"[25004585L]"
26063941,"[26064139L, 26064189L]"
26063982,"[26119400L, 26064139L, 25419724L, 58093678L, 58093691L]"
26064105,"[25051224L, 26064139L, 26064228L, 26064189L]"
26064139,"[58093680L, 26063941L, 26119400L, 26064105L, 34625002L, 34625004L, 26063982L, 25004590L, 25972879L, 25972880L, 25972883L, 26119404L, 25985493L, 25051224L, 58093695L]"
26064189,"[26063941L, 29179686L, 26064296L, 26064105L, 25051224L]"
26064261,"[26064228L]"
26064296,"[26064189L, 29179686L, 29179685L]"
26119398,"[26119404L]"
26119400,"[26064139L, 26119404L, 26063982L]"
26119402,"[26119403L, 26119404L]"
26119403,"[26119402L]"
