"id","nodes","tags","pending"
5218037,"{36704904,36704903,36704876,36704952,36704950,36704905}","{bridge,yes,oneway,yes,layer,1,highway,primary}",f
5218038,"{36704905,36704900,786671289,31018239,266110493,31018238,129899691}","{oneway,yes,name,建国门外大街,highway,primary}",f
5218042,"{36704941,36704942,36704943,36704944,36704945,36704946,36704947,36704948,36704950}","{bridge,yes,oneway,yes,layer,1,highway,trunk_link}",f
5218043,"{36704952,36704953,36704954,36704955,36704956,36704957,36704958,36704959}","{bridge,yes,oneway,yes,layer,1,highway,trunk_link}",f
5218045,"{35871135,35871413,35871414,35871415}","{oneway,yes,name,""3rd Ring Road"",highway,trunk}",f
5218046,"{36542781,36704963}","{bridge,yes,oneway,yes,layer,1,name,""3rd Ring Road"",highway,trunk}",f
5218047,"{36704963,1351272670,36704964}","{oneway,yes,name,""3rd Ring Road"",highway,trunk}",f
5218048,"{36704965,82972195,36704815,36704966}","{bridge,yes,oneway,yes,layer,2,name,""3rd Ring Road"",highway,trunk}",f
5218054,"{36704992,36704993,36704994}","{oneway,yes,name,""3rd Ring Road"",highway,trunk}",f
5218055,"{36704994,36704997}","{bridge,yes,oneway,yes,layer,2,name,""3rd Ring Road"",highway,trunk}",f
5218056,"{36704964,36704965}","{bridge,yes,oneway,yes,layer,2,name,""3rd Ring Road"",highway,trunk}",f
5218057,"{36704997,1351272678,36705007}","{oneway,yes,name,""3rd Ring Road"",highway,trunk}",f
5218058,"{36705007,1351272684}","{bridge,yes,oneway,yes,layer,1,name,""3rd Ring Road"",highway,trunk}",f
8365687,"{25585055,25585061,25585063,533650673,25248788}","{name,""Renmindahuitang Xijie"",highway,tertiary}",f
8365690,"{77732047,390990636,528929291,77732048,77732049,733992798,380765530,733992918,733992843,733992912,342803653,77732053,25585122}","{name,西绒线胡同,name:zh,西绒线胡同,highway,tertiary,name:zh_pinyin,""xīróngxiàn hútong""}",f
8365693,"{25585120,25585144,25585135}","{service,alley,name,东旧帘子胡同,name:zh,东旧帘子胡同,highway,service,name:zh_pinyin,""dōng jiùliánzi hútong""}",f
8365696,"{25585118,25585139}","{service,alley,name,东新帘子胡同,name:zh,东新帘子胡同,highway,service,name:zh_pinyin,""dōng xīnliánzi hútong""}",f
8365697,"{25585116,733992936,534085565,25585141}","{oneway,yes,service,alley,name,西交民巷,name:zh,西交民巷,highway,service,name:en,""Xijiaomin Xiang"",name:zh_pinyin,""xī jiāomín xiàng""}",f
8860924,"{35552324,35554061}","{highway,tertiary}",f
8860933,"{35554061,35554062}","{bridge,yes,layer,1,highway,tertiary}",f
8860940,"{35554062,127226290,317993972,35554063,258971263,32899017,258971020,127225074,245147676,534076856,245147233,1114097887,32899016}","{name,""Sanlitun Lu"",highway,tertiary,name:zh_pinyin,""Sanlitun Lu""}",f
8861258,"{244888026,64382848,76457478,76457479,245149633,76457480,76457481,76457475,76457477,100655684,35722670}","{oneway,yes,name,""朝阳北路 (cháoyáng běi lù)"",name:zh,朝阳北路,highway,secondary,name:zh_pinyin,""cháoyáng běi lù""}",f
8861304,"{244888026,332949539,332949540,332949527}","{oneway,yes,name,""Chaoyang Beilu"",highway,secondary}",f
8861571,"{1351023321,1351023301,1351023281,76456822,1351023259,1351023255,1351023252,1351023251,1351023250,1351023249,1351023248,1351023243,262259870,1372013062}","{oneway,yes,highway,tertiary}",f
8866484,"{35552321,64461488,35556694,64461489}","{foot,yes,highway,residential}",f
8867282,"{27484736,27486094}","{oneway,yes,highway,secondary}",f
8868032,"{64490206,1499760935,31331956,1190930403,1528034334}","{oneway,yes,name,德胜门西大街,highway,trunk}",f
8868091,"{27547627,656033473,656033476,656038026,656038021,656038022,656038023,656038024,656038025,656035868}","{oneway,yes,highway,trunk_link}",f
8869519,"{1303500892,64529286,1303500739,1303500767,64529291,330837004}","{oneway,yes,highway,trunk_link}",f
8873184,"{64603697,64603903}","{oneway,yes,highway,trunk_link}",f
9033752,"{66420500,317993750,66420518,66420537,66420546,74450982,72068015,72095261,72068032,72068046,72068283,72068507,72068540}","{name,""Chaoyanggongyuan Xilu"",highway,tertiary}",f
9033757,"{32877267,66420582,66420606}","{lanes,residential,highway,residential}",f
9033764,"{66420582,66420621,66420624,66420633,1357805895,1357805896,1357805897,1357805898}","{highway,residential}",f
9476038,"{72843093,1419885130,72843094,1015629163,72843096,1419885134,72843098,72843101,1419885144,72843102,1419885147,72843103,385092013}","{bridge,yes,oneway,yes,layer,1,name,西便门桥,int_name,""Xibianmen Qiao"",highway,trunk}",f
9476046,"{27547590,27547593,754517303,754516634,331149179,27547596}","{name,""Yuetan Beiie"",highway,tertiary}",f
9477031,"{32387952,1480544876,1480544846,32387953,453047918,453047919,32387954}","{oneway,yes,name,东四十条,highway,primary,name:en,Dongsishitiao,name:zh_pinyin,Dōngsìshítiáo}",f
9590423,"{74450584,74450634,74450864,74450885,74466963,74450909,74466964,74450961,74450982}","{highway,residential}",f
9590425,"{74467335,74450885}","{highway,residential}",f
9590427,"{35555077,32877275}","{highway,residential}",f
9701147,"{385095492,1201534497,72846264,76435320,384108077,384110005,76435323,273089666,390934190,1201534347,76435325,390934189,76435328,76435329,76435330,76435331,76435332,76435334,76435335,1201533952,76435338,76435339,76435340,289270640,1201534392,534088371,1201534507,534088372,534088373,534088374,534088376,385096665}","{oneway,yes,name,""广渠们南滨河路 Guanqumen Nanbinhe Lu"",name:zh,广渠们南滨河路,highway,trunk,name:en,""2nd Ring Road""}",f
9701307,"{76435350,76440356,76440357,76440358,322447800,533632102,76440359,385095869}","{oneway,yes,name,""Zuo'anmenxi Binhe Lu"",highway,trunk,name:en,""2nd Ring Road""}",f
9701429,"{76440395,76443702,76443703}","{bridge,yes,oneway,yes,layer,2,highway,trunk,name:en,""2nd Ring Road""}",f
9701849,"{76456803,76456804,76456805,718384234,1239554889,688145391,380063494,165738577,380063568,380063289,165738576,1243786214,76456794,76457148,1375581669,76456796}","{lanes,3,oneway,yes,name,""Jiuxianqiao Lu"",highway,secondary}",f
9701851,"{34928517,256875100,76456810,76456811,748725236,76456812,748725419,76456813,76456814,76456816,76456817,1243758252,35552589}","{lanes,2,oneway,yes,name,""Xiaoyun Lu"",highway,secondary}",f
9701854,"{321794578,35552585,35552463,76457033}","{highway,residential}",f
9701864,"{76457033,35552319}","{highway,residential}",f
9701880,"{256875150,260726400,76457109,76457110,76457111,76457112,76457113}","{highway,tertiary}",f
9701883,"{76457116,76457123,76457124,76457113,76457125,76457126,76457134,76457137,76457138}","{highway,tertiary}",f
9701885,"{76457133,76457145,256837195,76457134}","{highway,tertiary}",f
9701888,"{76457126,76457142,76457143}","{highway,tertiary}",f
9701893,"{76457144,76457143,76457145}","{highway,tertiary}",f
9701897,"{64382848,332949603,269616548,244889331,244888070,244889165,35555070,35555404}","{name,""Jintai Lu"",highway,secondary}",f
9701904,"{36704260,35722724,244884033}","{name,""Hujialou Beijie"",highway,residential}",f
9701935,"{35722664,76457576}","{oneway,yes,layer,2,highway,secondary}",f
9701974,"{35552053,1114083841,418063786,100631017,746964234,746964340,245145756}","{name,东直门外大街,highway,secondary,name:en,""Dongzhimen Outer Street"",name:zh_pinyin,""Dongzhimenwai Dajie""}",f
9745798,"{330836134,330836135}","{bridge,yes,oneway,yes,highway,primary}",f
9745904,"{321718422,321718423,321718424,1304785313,321718425,321718426,321718427,1304785118,321718428,321718429,321718430,321717778,321717779,321717780,606740807}","{bridge,yes,oneway,yes,layer,2,highway,motorway_link}",f
9746850,"{35552059,77317007,410837610,244883821,1313795598,1351023244,1351023245,1351023246,1351023247}","{name,新东路,name:zh,新东路,highway,secondary,name:zh_pinyin,""Xindong Lu""}",f
9747026,"{35554060,77320866,401367089,401367096,401367105}","{name,新源街,highway,tertiary}",f
9747086,"{76456822,35554060}","{oneway,yes,name,顺源街,highway,tertiary}",f
